-21.72336168 -0.00095727 -0.00001937 	-21.72336168 -0.00035877 -0.00000638	-21.72336168 -0.00053108 -0.00001008 	-21.72336168 -0.00166896 -0.00003450 
-21.69834917 -0.00095888 -0.00001944 	-21.69834917 -0.00035928 -0.00000639	-21.69834917 -0.00053190 -0.00001010 	-21.69834917 -0.00167184 -0.00003460 
-21.67333667 -0.00096051 -0.00001950 	-21.67333667 -0.00035983 -0.00000642	-21.67333667 -0.00053276 -0.00001014 	-21.67333667 -0.00167472 -0.00003472 
-21.64832416 -0.00096213 -0.00001957 	-21.64832416 -0.00036036 -0.00000645	-21.64832416 -0.00053360 -0.00001018 	-21.64832416 -0.00167762 -0.00003482 
-21.62331166 -0.00096377 -0.00001961 	-21.62331166 -0.00036089 -0.00000645	-21.62331166 -0.00053444 -0.00001020 	-21.62331166 -0.00168052 -0.00003494 
-21.59829915 -0.00096540 -0.00001969 	-21.59829915 -0.00036144 -0.00000648	-21.59829915 -0.00053530 -0.00001024 	-21.59829915 -0.00168344 -0.00003506 
-21.57328664 -0.00096704 -0.00001975 	-21.57328664 -0.00036198 -0.00000651	-21.57328664 -0.00053616 -0.00001028 	-21.57328664 -0.00168638 -0.00003516 
-21.54827414 -0.00096870 -0.00001981 	-21.54827414 -0.00036253 -0.00000652	-21.54827414 -0.00053702 -0.00001030 	-21.54827414 -0.00168930 -0.00003528 
-21.52326163 -0.00097035 -0.00001988 	-21.52326163 -0.00036308 -0.00000655	-21.52326163 -0.00053788 -0.00001034 	-21.52326163 -0.00169224 -0.00003538 
-21.49824912 -0.00097200 -0.00001994 	-21.49824912 -0.00036361 -0.00000658	-21.49824912 -0.00053874 -0.00001038 	-21.49824912 -0.00169522 -0.00003550 
-21.47323662 -0.00097367 -0.00002001 	-21.47323662 -0.00036416 -0.00000658	-21.47323662 -0.00053960 -0.00001040 	-21.47323662 -0.00169816 -0.00003562 
-21.44822411 -0.00097534 -0.00002007 	-21.44822411 -0.00036470 -0.00000661	-21.44822411 -0.00054046 -0.00001044 	-21.44822411 -0.00170114 -0.00003574 
-21.42321161 -0.00097702 -0.00002013 	-21.42321161 -0.00036526 -0.00000661	-21.42321161 -0.00054134 -0.00001046 	-21.42321161 -0.00170412 -0.00003586 
-21.39819910 -0.00097869 -0.00002020 	-21.39819910 -0.00036582 -0.00000664	-21.39819910 -0.00054222 -0.00001050 	-21.39819910 -0.00170712 -0.00003598 
-21.37318659 -0.00098037 -0.00002026 	-21.37318659 -0.00036636 -0.00000665	-21.37318659 -0.00054308 -0.00001052 	-21.37318659 -0.00171012 -0.00003610 
-21.34817409 -0.00098206 -0.00002032 	-21.34817409 -0.00036694 -0.00000670	-21.34817409 -0.00054398 -0.00001058 	-21.34817409 -0.00171312 -0.00003620 
-21.32316158 -0.00098376 -0.00002040 	-21.32316158 -0.00036747 -0.00000671	-21.32316158 -0.00054484 -0.00001060 	-21.32316158 -0.00171616 -0.00003632 
-21.29814907 -0.00098547 -0.00002047 	-21.29814907 -0.00036805 -0.00000671	-21.29814907 -0.00054574 -0.00001062 	-21.29814907 -0.00171918 -0.00003644 
-21.27313657 -0.00098718 -0.00002053 	-21.27313657 -0.00036860 -0.00000673	-21.27313657 -0.00054662 -0.00001066 	-21.27313657 -0.00172222 -0.00003658 
-21.24812406 -0.00098889 -0.00002059 	-21.24812406 -0.00036917 -0.00000677	-21.24812406 -0.00054752 -0.00001070 	-21.24812406 -0.00172526 -0.00003668 
-21.22311156 -0.00099061 -0.00002066 	-21.22311156 -0.00036972 -0.00000679	-21.22311156 -0.00054840 -0.00001074 	-21.22311156 -0.00172832 -0.00003680 
-21.19809905 -0.00099233 -0.00002073 	-21.19809905 -0.00037029 -0.00000680	-21.19809905 -0.00054930 -0.00001076 	-21.19809905 -0.00173140 -0.00003694 
-21.17308654 -0.00099406 -0.00002079 	-21.17308654 -0.00037086 -0.00000683	-21.17308654 -0.00055020 -0.00001080 	-21.17308654 -0.00173450 -0.00003704 
-21.14807404 -0.00099579 -0.00002087 	-21.14807404 -0.00037143 -0.00000685	-21.14807404 -0.00055110 -0.00001084 	-21.14807404 -0.00173758 -0.00003718 
